Hostname,Access,AccessHost,Address,Admin,AgentDeployed,AliasNodeName,AppContacts,ApplID,Application,CFGver,CPU_Rev,CPU_Speed,CPU_Type,CPU_bits,CPU_cores,City,Class,Cluster,Comments,Contract,Critical,DAS_Tot,DB,DNS1,DNS2,DNS3,DNSSuffix,Enclosure,Env,ExternalSerial#,FTR_cfg_rev,FWRev,Gateway,Grid,Group,Hardware_ID,ID_Admin,IP,Installed,MASK,Memory,Model#,Monitoring,NetWrk,OS,OSVer,OS_bits,Oracle_Cluster?,PART#,Partitioned,Patch,Platform,Portfolio,REMOTE_CONSOLE,RemoteConsoleType,RemoteHost,RemoteIP,RemotePort,RemoteUser,Root_owner,Root_shared,SAN_EMC,SAN_HDS,SAN_Tot,SAN_VSU,SAN_Vend,SSH,SeOS,ServerAccessMethodType,ServerStatus,Site,Srv_App,Srv_DB,Srv_DR,Srv_Web,State,TEAM,TZ,UPTIME,VID,Vendor,VipsServerSupportLevel,Virtual,VirtualIP,WEB,WebSvr,cfg2html
csgftwp09,ssh,not_found,not_found,bill.ewen,not_found,not_found,nsps05@ncnetwork.net,NNCN,NNOS COMMON SERVICES GATEWAY,2.80,PV_6_Compat,3503 MHz,PowerPC_POWER6,64-bit,4,not_found,Prod,_unknown,not_found,not_found,MC,_unknown,_unknown,not_found,not_found,not_found,not_found,DNWG513,Prod,10BD142,8.13-8,IBM EL340_061,not_found,not_found,Ftr13,not_found,not_found,138.83.154.65,not_found,not_found,8192 MB,8204-E8A,not_found,Core,AIX,AIX_5.3.0.0,64,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,4.7p1,v12.0.1.1262,not_found,not_found,FTW,App_srv,not_found,not_found,not_found,not_found,10,EST5EDT,194 days,not_found,IBM,not_found,Virtual,not_found,IHS/6.1.0.0,lnxfwi01.northcentralnetworks.com,20120321
cxfwgp01,ssh,not_found,not_found,Mike Cardwell,not_found,not_found,Mary K Glass 813-987-1827,TIVN,TIVOLI,5.13,_unknown,550 MHz,PA-RISC,64,Number of CPUs: 2,not_found,Prod,_unknown,not_found,not_found,NC,34.0 Gb,_unknown,not_found,not_found,not_found,not_found,_unknown,Prod,USC41172ED,A.07.05.17,0,not_found,not_found,Ftr13,not_found,not_found,159.161.125.58,not_found,not_found,_unknown,A500-5X,not_found,Core,HP-UX,HPUX_11.11,64,not_found,_unknown,not_found,,not_found,not_found,not_found,GSP,rccxfwgp02,112.32.90.65,not_found,not_found,not_found,not_found,not_found,not_found,421.1 Gb,not_found,EMC ,5.0p1,v12.53.0.1517,not_found,not_found,FTW,not_found,not_found,not_found,not_found,not_found,10,EST5EDT,10 days,not_found,HP,not_found,Physical,not_found,none,lnxfwi01.northcentralnetworks.com,20120301
ebcfwp01,ssh,not_found,not_found,NCDC_LINUX,not_found,not_found,0,EBCN,EBIZ CENTER,2.19,_unknown,2399 MHz,Intel Xeon,_unknown,1,not_found,Prod,not_found,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,Prod,VMware-42,8.13-8,6.00,not_found,not_found,Ftr13,not_found,not_found,138.83.10.202,not_found,not_found,895 MB,VMware Virtual Platform None,not_found,not_found,Linux,RH_5.3,64,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,Vsphere,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,4.3p2  /PRE ,v12.01.01.814,not_found,not_found,FTW,not_found,not_found,not_found,not_found,not_found,10,America/New_York ,569 days,not_found,VMware ,not_found,Virtual,not_found,Apache/2.2.3,lnxfwi01.northcentralnetworks.com,20120301
elidcs2,ssh,not_found,180S Clinton,NCDC_HPUX,not_found,not_found,not_found, U,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,1,Rochester,not_found,_unknown,Intec InterMediatE Development J Caputo,not_found,NC,_unknown,_unknown,10.160.64.24210.160.64.24310.32.1.49146.82.4.51,not_found,not_found,czncorp.com,_unknown,Dev,USR4218KBY,_unknown,_unknown,not_found,rack_01,Legacy,317255,not_found,10.161.65.41,07/02/03,255.255.255.240,512,L2000,not_found,not_found,HP-UX,HPUX_11.11,_unknown,not_found,_unknown,not_found,_unknown,UNIX,EBRAHIMI,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,3.4p1,_none,not_found,ONLINE,RDC,not_found,not_found,not_found,not_found,NY,_unknown,_unknown,_unknown,not_found,HP,not_found,Physical,not_found,_unknown,lnxfwi01.northcentralnetworks.com,not_found
ewftwp33,ssh,not_found,not_found,NCDC_LINUX,not_found,not_found,sigrun.ragnarsdottir@vso.verizon.com,EWBN,MYEWEB,2.19,not_found,2400 MHz,Intel Xeon,not_found,16,not_found,Prod,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,Prod,not_found,8.13-8,not_found,not_found,not_found,Ftr13,not_found,not_found,138.83.147.38,not_found,not_found,32960 MB,ProLiant BL680c G5,not_found,Core,Linux,SuSe_10,64,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,4.2p1  /PRE ,_none,not_found,not_found,FTW,not_found,not_found,not_found,Web_srv,not_found,1,US/Eastern  /PRE ,658 days,not_found,HP,not_found,Physical,not_found,/PRE,lnxfwi01.northcentralnetworks.com,20120302
ftpsdwhprd-cg4,ssh,not_found,not_found,NCDC_LINUX,not_found,not_found,NC-VSO-PROD-SPT,BJ4N,ENTERPRISE HR/PR DW,2.19,_unknown,2400 MHz,Intel Xeon,_unknown,8,not_found,Prod,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,Prod,_unknown,8.13-8.noarch,_unknown,not_found,not_found,Ftr13,not_found,not_found,138.83.142.108,not_found,not_found,33274 MB,_unknown,not_found,Core,Linux,RH_4_upd_7,32,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,3.9p1  /PRE ,v12.01.02.963,not_found,not_found,FTW,not_found,not_found,not_found,Web_srv,not_found,0,America/Eastern ,668 days,not_found,_unknown,not_found,Physical,not_found,running,lnxfwi01.northcentralnetworks.com,20120302
inftwxenh1,ssh,not_found,not_found,NCDC_LINUX,not_found,not_found,NC-VSO-PROD-SPT,PHNN,PEOPLESOFT HR,2.19,_unknown,2400 MHz,Intel Xeon,_unknown,8,not_found,Prod,_unknown,Not in ITI,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,Prod,USE7507MMN,8.13-8,I17,not_found,not_found,Ftr13,not_found,not_found,138.83.142.147,not_found,not_found,16318 MB,ProLiant BL680c G5,not_found,Core,Linux,RH_5.2,64,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,4.3p2  /PRE ,_none,not_found,not_found,FTW,App_srv,not_found,not_found,not_found,not_found,0,America/New_York ,860 days,not_found,HP,not_found,Physical,not_found,none,lnxfwi01.northcentralnetworks.com,20120301
lnxfwi01,ssh,not_found,not_found,NCDC_LINUX,not_found,not_found,0,LNXN,0,2.19,_unknown,2399 MHz,Intel Xeon,_unknown,1,not_found,nonProd,_unknown,NCDC Linux Team Infrastructure/Repo Server,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,IT,VMware-42,8.13-8,6.00,not_found,not_found,Ftr13,not_found,not_found,138.83.10.169,not_found,not_found,1928 MB,VMware Virtual Platform None,not_found,Core,Linux,RH_5.3,64,not_found,_unknown,not_found,_unknown,not_found,not_found,Vmware Vcenter,Vsphere,not_found,138.83.8.21,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,4.3p2  /PRE ,v12.53.0.1517,not_found,not_found,FTW,App_srv,not_found,not_found,Web_srv,not_found,10,America/New_York ,35 days,not_found,VMware ,not_found,Virtual,not_found,Apache/2.2.3,lnxfwi01.northcentralnetworks.com,20120301
nshfwpa2,ssh,not_found,6430OAKBROOKPKWY,NCDC_HPUX,not_found,not_found,not_found,NSHN,NSAG,5.13,_unknown,750 MHz,PA-RISC,64,Number of CPUs: 4,FortWayne,not_found,_unknown,not_found,not_found,NC,273.6 Gb,_unknown,138.83.131.154144.70.4.140,not_found,not_found,northcentralnetworks.com,_unknown,Prod,USE4450MDL,A.07.05.15,0,not_found,1-27/BL,not_found,41962,not_found,192.110.106.117,not_found,255.255.254.0,_unknown,L3000-7X,not_found,not_found,HP-UX,HPUX_11.23,64,not_found,_unknown,not_found,,UNIX,not_found,not_found,GSP,rc_nshfwpa2,112.32.92.54,not_found,not_found,not_found,not_found,not_found,not_found,236.1 Gb,not_found,HITACHI ,5.3p1,v12.0.1.1262,SSH,ONLINE,FTW,not_found,not_found,not_found,not_found,IN,10,EST5EDT,104 days,not_found,HP,1,Physical,138.83.143.133,none,lnxfwi01.northcentralnetworks.com,2012030
nyrofcsol29,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,_unknown,not_found,not_found,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,not_found,not_found,_unknown,not_found,not_found
omefwp01,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,_unknown,not_found,not_found,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,not_found,not_found,_unknown,not_found,not_found
rcfwsp05,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,_unknown,not_found,not_found,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,not_found,not_found,_unknown,not_found,not_found
scrambler,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,_unknown,not_found,not_found,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,not_found,not_found,_unknown,not_found,not_found
unxfwi03,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,_unknown,not_found,not_found,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,not_found,not_found,_unknown,not_found,not_found
wbnfwpd1,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,_unknown,not_found,not_found,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,not_found,not_found,_unknown,not_found,not_found
webftwp01b,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,_unknown,not_found,not_found,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,not_found,not_found,_unknown,not_found,not_found
wkbfwpa1,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,_unknown,not_found,not_found,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,not_found,not_found,_unknown,not_found,not_found
xrmfwp06,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,_unknown,not_found,not_found,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,not_found,_unknown,not_found,not_found,not_found,_unknown,not_found,not_found
